
Rating 5 (Total Players: 18):
Player: רועי משפתי, Rating: 5, Overall Score: 132.8, Points Score: 22
Player: מתן לוי, Rating: 3, Overall Score: 70.8, Points Score: 5
Player: שון גולדברג, Rating: 3, Overall Score: 63.4, Points Score: 5
Player: עבד ג`אבר, Rating: 3, Overall Score: 97.6, Points Score: 9
Player: סמביניה, Rating: 3, Overall Score: 97.4, Points Score: 6
Player: מואיז אדילהו, Rating: 3, Overall Score: 101.8, Points Score: 7
Player: דניאל סונדגרן, Rating: 3, Overall Score: 71.4, Points Score: 5
Player: ירדן כהן, Rating: 3, Overall Score: 57.1, Points Score: 5
Player: אלון אזוגי, Rating: 3, Overall Score: 93.3, Points Score: 12
Player: מארון גנטוס, Rating: 3, Overall Score: 81.2, Points Score: 4
Player: דוד קופרמן, Rating: 3, Overall Score: 54.3, Points Score: 8
Player: דניס פוליאקוב, Rating: 3, Overall Score: 95.0, Points Score: 10
Player: ינון אליהו, Rating: 3, Overall Score: 87.4, Points Score: 10
Player: ג`ואל אבו חנא, Rating: 3, Overall Score: 71.6, Points Score: 7
Player: עובדיה דרוויש, Rating: 3, Overall Score: 76.3, Points Score: 8
Player: תומר אלטמן, Rating: 3, Overall Score: 78.5, Points Score: 8
Player: בר כהן, Rating: 3, Overall Score: 85.3, Points Score: 16
Player: רועי לוי, Rating: 3, Overall Score: 87.4, Points Score: 8
Player: עילאי טרוסט, Rating: 3, Overall Score: 63.7, Points Score: 6
Player: מאוויס צ`יבוטה, Rating: 3, Overall Score: 62.2, Points Score: 10
Player: גדעון אקווה, Rating: 3, Overall Score: 61.2, Points Score: 7
Player: ענאן חלאילי, Rating: 3, Overall Score: 73.6, Points Score: 10
Player: עדי יונה, Rating: 3, Overall Score: 69.7, Points Score: 7
Player: עמרי אלטמן, Rating: 3, Overall Score: 65.6, Points Score: 6
Player: ליאור רפאלוב, Rating: 3, Overall Score: 62.2, Points Score: 10
Player: מוחמד אוסמן, Rating: 3, Overall Score: 99.7, Points Score: 9
Player: אדריאן פאון, Rating: 3, Overall Score: 58.9, Points Score: 11
Player: מתן חוזז, Rating: 3, Overall Score: 86.9, Points Score: 9
Player: דיא סבע, Rating: 3, Overall Score: 90.3, Points Score: 18
Player: יוני סטויאנוב, Rating: 3, Overall Score: 103.2, Points Score: 9
Player: אנדרה פוקו, Rating: 3, Overall Score: 67.5, Points Score: 6
Player: אל ים קנצפולסקי, Rating: 3, Overall Score: 56.5, Points Score: 3
Player: שי אליאס, Rating: 3, Overall Score: 83.0, Points Score: 2
Player: איסמעילה סורו, Rating: 3, Overall Score: 55.3, Points Score: 4
Player: רן בנימין, Rating: 3, Overall Score: 71.9, Points Score: 6
Player: טוני גומס, Rating: 3, Overall Score: 60.8, Points Score: 7
Player: אבי ריקן, Rating: 3, Overall Score: 72.8, Points Score: 11
Player: קאפיטה, Rating: 3, Overall Score: 62.1, Points Score: 6
Player: דור מיכה, Rating: 3, Overall Score: 67.3, Points Score: 6
Player: נדב נידם, Rating: 3, Overall Score: 83.5, Points Score: 11
Player: לוקאס סלינאס, Rating: 3, Overall Score: 65.4, Points Score: 7
Player: אלעד שחף, Rating: 3, Overall Score: 78.2, Points Score: 8
Player: יונתן טפר, Rating: 3, Overall Score: 54.6, Points Score: 8
Player: אווקה אשטה, Rating: 3, Overall Score: 65.6, Points Score: 5
Player: רוי נאווי, Rating: 3, Overall Score: 81.4, Points Score: 2
Player: תמיר עדי, Rating: 3, Overall Score: 81.2, Points Score: 8
Player: יונתן כהן, Rating: 3, Overall Score: 54.3, Points Score: 6
Player: סמואל בראון, Rating: 3, Overall Score: 90.4, Points Score: 7
Player: ראצ`יד צ`ירינו, Rating: 3, Overall Score: 78.0, Points Score: 12
Player: פליפה סנטוס, Rating: 3, Overall Score: 90.3, Points Score: 13
Player: איברהים ג`באר, Rating: 3, Overall Score: 88.6, Points Score: 12
Player: מריאנו בריירו, Rating: 3, Overall Score: 76.2, Points Score: 4
Player: רועי גורדנה, Rating: 3, Overall Score: 63.3, Points Score: 6
Player: אניס עיאש, Rating: 3, Overall Score: 82.4, Points Score: 12
Player: עלי מוחמד, Rating: 3, Overall Score: 82.1, Points Score: 6
Player: נועם מוצ`ה, Rating: 3, Overall Score: 103.2, Points Score: 9
Player: ניב גוטליב, Rating: 3, Overall Score: 60.5, Points Score: 5
Player: סטפן אומאונגה, Rating: 3, Overall Score: 90.6, Points Score: 7
Player: אמיר ג`נאח, Rating: 3, Overall Score: 80.2, Points Score: 10
Player: דון סדריק, Rating: 3, Overall Score: 65.7, Points Score: 9
Player: איגור זלטאנוביץ`, Rating: 3, Overall Score: 80.1, Points Score: 17
Player: אלון תורג`מן, Rating: 3, Overall Score: 96.7, Points Score: 13
Player: יילה דוין, Rating: 3, Overall Score: 57.8, Points Score: 9
Player: זאהי אחמד, Rating: 3, Overall Score: 61.7, Points Score: 6
Player: דור חוגי, Rating: 3, Overall Score: 91.4, Points Score: 12
Player: רז שטיין, Rating: 3, Overall Score: 63.2, Points Score: 7
Player: פורצ`ן באסיי, Rating: 3, Overall Score: 88.9, Points Score: 11
Player: אנס מחמיד, Rating: 3, Overall Score: 78.4, Points Score: 24
Player: אבנעזר ממאטה, Rating: 3, Overall Score: 76.3, Points Score: 7
Player: פרד פריידיי, Rating: 3, Overall Score: 83.7, Points Score: 11
Player: פראנזי פיירו, Rating: 3, Overall Score: 75.0, Points Score: 17
Player: סאליו גואינדו, Rating: 3, Overall Score: 66.2, Points Score: 9

Rating 2 (Total Players: 106):
Player: איתמר ניצן, Rating: 2, Overall Score: 40.2, Points Score: 1
Player: רז כרמי, Rating: 2, Overall Score: 53.4, Points Score: -1
Player: גיא הרמן, Rating: 2, Overall Score: 41.5, Points Score: 7
Player: מוחמד אבו ניל, Rating: 2, Overall Score: 22.2, Points Score: 2
Player: ניב אליאסי, Rating: 2, Overall Score: 31.4, Points Score: 6
Player: תומר צרפתי, Rating: 2, Overall Score: 26.2, Points Score: -6
Player: שריף כיוף, Rating: 2, Overall Score: 42.6, Points Score: 3
Player: דרור ניר, Rating: 2, Overall Score: 45.0, Points Score: 7
Player: ז`אן קיניונס, Rating: 2, Overall Score: 46.6, Points Score: 2
Player: מתן פלג, Rating: 2, Overall Score: 17.3, Points Score: 2
Player: מקסים גרצ`קין, Rating: 2, Overall Score: 41.8, Points Score: 2
Player: בריאן פאסי, Rating: 2, Overall Score: 36.1, Points Score: 7
Player: אבישי כהן, Rating: 2, Overall Score: 20.1, Points Score: 3
Player: עומר קורסיה, Rating: 2, Overall Score: 14.0, Points Score: 1
Player: אופיר דוידזאדה, Rating: 2, Overall Score: 26.8, Points Score: 4
Player: לורנצו שימיץ`, Rating: 2, Overall Score: 21.6, Points Score: 0
Player: מאור קנדיל, Rating: 2, Overall Score: 15.4, Points Score: 2
Player: ג`ורג` דיבה, Rating: 2, Overall Score: 34.8, Points Score: 7
Player: חאתם עבד אלחמיד, Rating: 2, Overall Score: 35.3, Points Score: 4
Player: עיאד אבו עביד, Rating: 2, Overall Score: 36.3, Points Score: 7
Player: טום בן זקן, Rating: 2, Overall Score: 27.4, Points Score: 0
Player: פלאמן גלאבוב, Rating: 2, Overall Score: 42.4, Points Score: 3
Player: מונטרי קמאהני, Rating: 2, Overall Score: 13.6, Points Score: -4
Player: נאסים אואמאו, Rating: 2, Overall Score: 46.4, Points Score: 4
Player: דניס קוליקוב, Rating: 2, Overall Score: 52.3, Points Score: 4
Player: בר נאווי, Rating: 2, Overall Score: 21.5, Points Score: 9
Player: עומר אגבדיש, Rating: 2, Overall Score: 32.6, Points Score: 1
Player: רועי אלימלך, Rating: 2, Overall Score: 39.2, Points Score: 7
Player: לי-און מזרחי, Rating: 2, Overall Score: 30.4, Points Score: 3
Player: דריק לוקאסן, Rating: 2, Overall Score: 44.0, Points Score: 4
Player: לורנצו פרמאטי, Rating: 2, Overall Score: 29.7, Points Score: 3
Player: איתן טיבי, Rating: 2, Overall Score: 25.6, Points Score: 2
Player: תומר לוי, Rating: 2, Overall Score: 12.4, Points Score: 2
Player: טל ארצ`ל, Rating: 2, Overall Score: 35.3, Points Score: 7
Player: רותם קלר, Rating: 2, Overall Score: 12.6, Points Score: 2
Player: אדי גוטליב, Rating: 2, Overall Score: 21.6, Points Score: 1
Player: דור מלול, Rating: 2, Overall Score: 41.3, Points Score: 3
Player: טארק בושנאק, Rating: 2, Overall Score: 15.6, Points Score: 4
Player: טימותי אוואני, Rating: 2, Overall Score: 48.8, Points Score: -5
Player: מופלח שלאעטה, Rating: 2, Overall Score: 35.4, Points Score: 2
Player: הראל שלום, Rating: 2, Overall Score: 25.7, Points Score: 3
Player: זוהר זסנו, Rating: 2, Overall Score: 30.6, Points Score: 2
Player: פיליפ איפולה, Rating: 2, Overall Score: 31.2, Points Score: 2
Player: עידן דהן, Rating: 2, Overall Score: 36.3, Points Score: 4
Player: אור רויזמן, Rating: 2, Overall Score: 36.0, Points Score: 5
Player: יעקב בריהון, Rating: 2, Overall Score: 43.0, Points Score: 5
Player: לואי חלף, Rating: 2, Overall Score: 28.6, Points Score: 3
Player: גיא בדש, Rating: 2, Overall Score: 28.0, Points Score: 4
Player: קיקו בונדוסו, Rating: 2, Overall Score: 14.7, Points Score: 4
Player: לירן רוטמן, Rating: 2, Overall Score: 38.7, Points Score: 13
Player: אביאל זרגרי, Rating: 2, Overall Score: 41.6, Points Score: 4
Player: איליי טמם, Rating: 2, Overall Score: 38.9, Points Score: 4
Player: מתנאל טדסה, Rating: 2, Overall Score: 17.6, Points Score: 2
Player: מנשה זלקה, Rating: 2, Overall Score: 46.9, Points Score: 4
Player: אלעד מדמון, Rating: 2, Overall Score: 33.5, Points Score: 7
Player: גולן בני, Rating: 2, Overall Score: 31.2, Points Score: 5
Player: שואו, Rating: 2, Overall Score: 38.0, Points Score: 4
Player: דני הוצ`קו, Rating: 2, Overall Score: 31.7, Points Score: -1
Player: אחמד טאהא, Rating: 2, Overall Score: 22.0, Points Score: 1
Player: נהוראי דבוש, Rating: 2, Overall Score: 19.1, Points Score: 2
Player: הנרי ואקה, Rating: 2, Overall Score: 48.7, Points Score: 4
Player: עוז בילו, Rating: 2, Overall Score: 36.8, Points Score: 5
Player: מוחמד בדארנה, Rating: 2, Overall Score: 25.2, Points Score: 8
Player: מוטי ברשצקי, Rating: 2, Overall Score: 32.9, Points Score: 4
Player: איתמר נוי, Rating: 2, Overall Score: 31.2, Points Score: 3
Player: איתי זדה, Rating: 2, Overall Score: 25.3, Points Score: 4
Player: אושר דוידה, Rating: 2, Overall Score: 19.4, Points Score: 3
Player: איינהו פרדה, Rating: 2, Overall Score: 38.9, Points Score: 4
Player: מחמוד ג`אבר, Rating: 2, Overall Score: 25.6, Points Score: 3
Player: דן עזריה, Rating: 2, Overall Score: 28.9, Points Score: 3
Player: טל בן חיים, Rating: 2, Overall Score: 53.0, Points Score: 10
Player: מקסים פלקושצ`נקו, Rating: 2, Overall Score: 21.4, Points Score: 3
Player: כריסטופר פטרסון, Rating: 2, Overall Score: 48.5, Points Score: 5
Player: עידו שחר, Rating: 2, Overall Score: 15.4, Points Score: 5
Player: עידן ורד, Rating: 2, Overall Score: 48.0, Points Score: 6
Player: אמיר ברקוביץ`, Rating: 2, Overall Score: 31.8, Points Score: 5
Player: יובל אשכנזי, Rating: 2, Overall Score: 19.7, Points Score: 3
Player: שלו הרוש, Rating: 2, Overall Score: 12.5, Points Score: 3
Player: שלומי אזולאי (קשר), Rating: 2, Overall Score: 35.9, Points Score: 3
Player: מרוואן קבהא, Rating: 2, Overall Score: 23.1, Points Score: 5
Player: עמית מאיר, Rating: 2, Overall Score: 18.1, Points Score: 5
Player: מוחמד שכר, Rating: 2, Overall Score: 26.7, Points Score: 3
Player: בירם כיאל, Rating: 2, Overall Score: 35.5, Points Score: 3
Player: גבי גורי, Rating: 2, Overall Score: 29.2, Points Score: 2
Player: טימו מוזי, Rating: 2, Overall Score: 17.9, Points Score: 2
Player: סתיו טוריאל, Rating: 2, Overall Score: 51.7, Points Score: 6
Player: אריק שוראנוב, Rating: 2, Overall Score: 38.4, Points Score: 7
Player: אילון אלמוג, Rating: 2, Overall Score: 28.2, Points Score: 3
Player: שביט מזל, Rating: 2, Overall Score: 39.3, Points Score: 3
Player: אחמד סלמן, Rating: 2, Overall Score: 34.3, Points Score: 4
Player: איתי שכטר, Rating: 2, Overall Score: 21.7, Points Score: 3
Player: דין דוד, Rating: 2, Overall Score: 46.5, Points Score: 5
Player: דור ג`אן, Rating: 2, Overall Score: 31.7, Points Score: 3
Player: בסיל חורי, Rating: 2, Overall Score: 29.6, Points Score: 4
Player: עלא חסן, Rating: 2, Overall Score: 17.4, Points Score: 1
Player: איתי בוגאנים, Rating: 2, Overall Score: 50.1, Points Score: 8
Player: רז טוויזר, Rating: 2, Overall Score: 27.2, Points Score: 3
Player: בן שהר, Rating: 2, Overall Score: 31.0, Points Score: 6
Player: פטריק קלימלה, Rating: 2, Overall Score: 35.4, Points Score: 7
Player: דור תורג`מן, Rating: 2, Overall Score: 42.3, Points Score: 13
Player: יואל אבוחצירה, Rating: 2, Overall Score: 29.6, Points Score: 3
Player: אדיר לוי, Rating: 2, Overall Score: 17.4, Points Score: 6
Player: איתמר שבירו, Rating: 2, Overall Score: 21.2, Points Score: 2
Player: ארון לייה איסקה, Rating: 2, Overall Score: 52.5, Points Score: 8
Player: פרדי ורגאס, Rating: 2, Overall Score: 47.8, Points Score: 6
Player: ג`ורדן בוטאקה, Rating: 2, Overall Score: 13.4, Points Score: 2

Rating 1 (Total Players: 160):
Player: ניב אנטמן, Rating: 1, Overall Score: 1.8, Points Score: 0
Player: עמית משיח, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: מרקו וולף, Rating: 1, Overall Score: 1.8, Points Score: 0
Player: נדב זמיר, Rating: 1, Overall Score: 1.6, Points Score: 0
Player: שגיא הראל, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: רועי פוקס, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: מהראן גאדיר, Rating: 1, Overall Score: 1.2, Points Score: 0
Player: תומר אלון, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: דניאל צדיק, Rating: 1, Overall Score: 0.8, Points Score: 0
Player: יואב אריכא, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: שחר גולן, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: עדי חייקין, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: עמית סוארי, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: קים זיבת, Rating: 1, Overall Score: 1.0, Points Score: 0
Player: רן חשפיה, Rating: 1, Overall Score: 1.4, Points Score: 0
Player: רוי ששון, Rating: 1, Overall Score: 1.6, Points Score: 0
Player: פורז ולקוביץ`, Rating: 1, Overall Score: 0.8, Points Score: 0
Player: דניאל טננבאום, Rating: 1, Overall Score: 2.6, Points Score: 0
Player: אורלנדו מוסקרה, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: רוי ברנס, Rating: 1, Overall Score: 1.6, Points Score: 0
Player: ראם גולן, Rating: 1, Overall Score: 0.8, Points Score: 0
Player: יונתן שני, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: עומר נחפאווי, Rating: 1, Overall Score: 1.0, Points Score: 0
Player: סהר חסון, Rating: 1, Overall Score: 1.4, Points Score: 0
Player: אמיר אריאלי, Rating: 1, Overall Score: 1.0, Points Score: 0
Player: ניתאי ביתן, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: עזיז קאיונדו, Rating: 1, Overall Score: 2.0, Points Score: 0
Player: עמית כהן, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: נועם בן הרוש, Rating: 1, Overall Score: 3.9, Points Score: 0
Player: עבדול קוליבאלי, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: שרן ייני, Rating: 1, Overall Score: 4.9, Points Score: 1
Player: ליאו בנבנישתי, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: אמיר אלטורי, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: רוני לאופר, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: עידו וייר, Rating: 1, Overall Score: 9.9, Points Score: 0
Player: עוביידה חטאב, Rating: 1, Overall Score: 1.8, Points Score: 0
Player: דולב אזרואל, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: שקד חכמון, Rating: 1, Overall Score: 1.6, Points Score: 0
Player: אשרף רבאח, Rating: 1, Overall Score: 8.7, Points Score: 2
Player: טאלב טוואטחה, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: אבי תורג`מן, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: יזן נסאר, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: דניאל פלשר, Rating: 1, Overall Score: 1.8, Points Score: 0
Player: מוחמד גנאמה, Rating: 1, Overall Score: 0.8, Points Score: 0
Player: יער זמבורסקי, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: ירין חנום, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: פלג חמני, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: רון אונגר, Rating: 1, Overall Score: 5.3, Points Score: 1
Player: ספיר איטח, Rating: 1, Overall Score: 4.7, Points Score: 1
Player: גיא מזרחי, Rating: 1, Overall Score: 4.5, Points Score: 1
Player: איציק שולמייסטר, Rating: 1, Overall Score: 1.8, Points Score: 0
Player: אביב לין, Rating: 1, Overall Score: 7.1, Points Score: 0
Player: רן ואתורי, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: דור אלו, Rating: 1, Overall Score: 4.3, Points Score: 1
Player: יוראי מליח, Rating: 1, Overall Score: 9.4, Points Score: 2
Player: מוחמד מוראד, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: נועם מלמוד, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: רמי גרשון, Rating: 1, Overall Score: 1.4, Points Score: 0
Player: איתי בן שבת, Rating: 1, Overall Score: 1.6, Points Score: 0
Player: עידן נחמיאס, Rating: 1, Overall Score: 6.5, Points Score: 1
Player: ארי מרנשטיין, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: ניב פליטר, Rating: 1, Overall Score: 1.0, Points Score: 0
Player: אביב סלם, Rating: 1, Overall Score: 1.4, Points Score: 0
Player: ריאד אבו ריא, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: ראמי גנאים, Rating: 1, Overall Score: 0.8, Points Score: 0
Player: לידור מימון, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: רועי ממן, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: מקסים בבקו, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: רועי רבינוביץ`, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: אביב אברהם, Rating: 1, Overall Score: 7.2, Points Score: 0
Player: רוי בן נביא, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: ליאור קאסה, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: אייל גולסה, Rating: 1, Overall Score: 11.8, Points Score: 2
Player: ריף אמסלם, Rating: 1, Overall Score: 0.8, Points Score: 0
Player: טיזיאנו צ`קנה, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: ייסמאו קבדה, Rating: 1, Overall Score: 8.3, Points Score: -3
Player: ירין גברי, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: ניב טובול, Rating: 1, Overall Score: 3.1, Points Score: 1
Player: מירון טל, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: עידו דוידוב, Rating: 1, Overall Score: 1.8, Points Score: 0
Player: ירין לוי, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: איזק פאפו, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: ג`ימי אלכסיס, Rating: 1, Overall Score: 6.4, Points Score: -2
Player: עודד צוקול, Rating: 1, Overall Score: 3.1, Points Score: 1
Player: דולב חזיזה, Rating: 1, Overall Score: 9.9, Points Score: 1
Player: אריאל לוגסי, Rating: 1, Overall Score: 10.8, Points Score: 2
Player: רותם חטואל, Rating: 1, Overall Score: 6.1, Points Score: 1
Player: אדהם סוואעד, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: ליאור רוקח, Rating: 1, Overall Score: 11.8, Points Score: 2
Player: ארי כהן, Rating: 1, Overall Score: 5.1, Points Score: 1
Player: נועם בונה, Rating: 1, Overall Score: 8.9, Points Score: 1
Player: עזאלדין גביס, Rating: 1, Overall Score: 0.8, Points Score: 0
Player: אורן סיטבון, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: יובל כהן, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: ניר חסון, Rating: 1, Overall Score: 1.0, Points Score: 0
Player: אחמד עאבד, Rating: 1, Overall Score: 10.8, Points Score: 1
Player: סולימן מארה, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: ליאל דרעי, Rating: 1, Overall Score: 0.0, Points Score: 0
Player: יונתן אטיאס, Rating: 1, Overall Score: 0.0, Points Score: 0
